"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
2,[RU]_July_moscow,2019-07-08,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-08,2019-07-08
2,[RU]_July_moscow,2019-07-11,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-11,2019-07-11
2,[RU]_July_moscow,2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-10,2019-07-10
2,[RU]_July_moscow,2019-07-12,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-12,2019-07-12
2,[RU]_July_moscow,2019-07-13,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-13,2019-07-13
2,[RU]_July_moscow,2019-07-14,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-14,2019-07-14
2,[RU]_July_moscow,2019-07-15,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-15,2019-07-15
2,[RU]_July_moscow,2019-07-16,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-16,2019-07-16
2,[RU]_July_moscow,2019-07-17,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-17,2019-07-17
2,[RU]_July_moscow,2019-07-18,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-18,2019-07-18
2,[RU]_July_moscow,2019-07-19,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-19,2019-07-19
2,[RU]_July_moscow,2019-07-20,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557581160549,23843557581260549,2019-07-20,2019-07-20
1,"[KZ]_ July",2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-27,2019-07-27
4,[RU]_July_moscow,2019-07-19,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-19,2019-07-19
1,"[KZ]_ July",2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-28,2019-07-28
1,"[KZ]_ July",2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-26,2019-07-26
